Folkemengde og endringer, etter region, tid  og  statistikkvariabel;;;;
;;;;
 ;2007;2009;2013;2017
 ;Folkemengde;Folkemengde;Folkemengde;Folkemengde
Lærdal;2153;2199;2176;2159
Borgund (-1963);0;0;0;0
Årdal;5491;5600;5521;5363
Hafslo (-1962);0;0;0;0
Luster;4884;4879;5041;5151
Jostedal (-1962);0;0;0;0
Askvoll;3143;3031;3018;3065
Fjaler;2870;2838;2871;2862
Gaular;2719;2757;2923;2966
Jølster;2928;2950;3078;3049
Førde;11465;11838;12559;13009
Naustdal;2658;2655;2713;2848
Vevring (-1963);0;0;0;0
Eikefjord (-1963);0;0;0;0
Bru (-1963);0;0;0;0
Kinn (-1963);0;0;0;0
Bremanger;3930;3899;3945;3847
Vågsøy;6064;5989;6119;6031
Sør-Vågsøy (1910-1963);0;0;0;0
Nord-Vågsøy (1910-1963);0;0;0;0
Selje;2911;2874;2789;2791
Davik (-1964);0;0;0;0
Eid;5848;5861;5920;6064
Hornindal;1201;1223;1238;1198
Gloppen;5723;5673;5676;5783
Breim (-1963);0;0;0;0
Innvik (-1964);0;0;0;0
Stryn (-1976);0;0;0;0
Stryn;6706;6844;7105;7218
Ålesund (-1976);0;0;0;0
Molde;24254;24554;25936;26822
Kristiansund  (-2007);17094;0;0;0
Ålesund;41385;42317;45033;47199
Kristiansund;0;22937;24131;24442
Vanylven;3536;3494;3336;3203
Syvde (-1963);0;0;0;0
Rovde (-1963);0;0;0;0
Sande (M. og R.);2526;2541;2628;2540
Herøy (M. og R.);8321;8349;8847;8957
Ulstein;6841;7052;7927;8457
Hareid;4675;4817;5057;5185
Dalsfjord (-1963);0;0;0;0
Volda;8317;8509;8827;9102
Ørsta;10162;10200;10456;10744
Vartdal (-1963);0;0;0;0
Hjørundfjord (-1963);0;0;0;0
Ørskog;2088;2142;2267;2296
Sunnylven (-1964);0;0;0;0
Norddal;1817;1769;1739;1663
Stranda;4500;4533;4610;4623
Stordal;984;1001;1052;1005
Ørskog (-1976);0;0;0;0
Sykkylven;7467;7565;7673;7695
Skodje;3668;3901;4282;4667
Vatne (-1964);0;0;0;0
Sula;7538;7778;8397;9007
Borgund (-1967);0;0;0;0
Giske;6647;6873;7541;8176
Vigra (-1963);0;0;0;0
Haram;8606;8694;9020;9312
Vestnes;6402;6478;6626;6577
Tresfjord (-1963);0;0;0;0
Voll (-1963);0;0;0;0
Eid (-1963);0;0;0;0
Rauma;7325;7376;7421;7503
Grytten (-1963);0;0;0;0
Hen (-1963);0;0;0;0
Veøy (-1963);0;0;0;0
Eresfjord og Vistdal (-1963);0;0;0;0
Nesset;3088;3076;2995;2963
Bolsøy (-1963);0;0;0;0
Midsund;1910;1922;2010;2085
Sør-Aukra (1924-1964);0;0;0;0
Sandøy;1276;1307;1291;1246
Aukra;3142;3183;3339;3547
Nord-Aukra (1924-1963);0;0;0;0
Fræna;9131;9257;9614;9741
Bud (-1963);0;0;0;0
Hustad (-1963);0;0;0;0
Eide;3365;3316;3476;3454
Kornstad (-1963);0;0;0;0
Kvernes (-1963);0;0;0;0
Averøy;5367;5444;5651;5856
Bremsnes (-1963);0;0;0;0
Grip (-1963);0;0;0;0
Frei (-2007);5428;0;0;0
Gjemnes;2647;2618;2557;2611
Øre (-1964);0;0;0;0
Straumsnes (-1963);0;0;0;0
Tingvoll;3084;3062;3116;3109
Øksendal (-1959);0;0;0;0
Ålvundeid (-1959);0;0;0;0
Sunndal;7333;7347;7205;7126
Stangvik (-1964);0;0;0;0
Åsskard (-1964);0;0;0;0
Surnadal;6049;6000;5927;5986
Rindal;2061;2041;2061;2026
Stemshaug (-1964);0;0;0;0
Aure (-2005);0;0;0;0
Valsøyfjord (-1964);0;0;0;0
Halsa;1671;1647;1606;1599
Tustna (-2005);0;0;0;0
Smøla;2165;2119;2180;2160
Edøy (-1959);0;0;0;0
Brattvær (1915-1959);0;0;0;0
Hopen (1915-1959);0;0;0;0
Aure;3515;3508;3570;3590
Trondheim;161730;168257;179692;190464
Vinje (-1963);0;0;0;0
Hemne;4247;4225;4228;4259
Snillfjord;1021;988;985;982
Heim (-1963);0;0;0;0
Sandstad (-1963);0;0;0;0
Fillan (-1963);0;0;0;0
Hitra;4028;4145;4477;4659
Kvenvær (-1963);0;0;0;0
Sør-Frøya (-1963);0;0;0;0
Frøya;4052;4215;4506;4937
Nord-Frøya (-1963);0;0;0;0
Ørland;5091;5033;5155;5291
Agdenes;1775;1732;1712;1711
Lensvik (-1963);0;0;0;0
Rissa;6366;6389;6652;6628
Stadsbygd (-1963);0;0;0;0
Stjørna (-1963);0;0;0;0
Bjugn;4561;4540;4665;4822
Nes (-1963);0;0;0;0
Jøssund (-1963);0;0;0;0
Åfjord;3258;3237;3237;3263
Stoksund (-1963);0;0;0;0
Roan;1030;1010;996;959
Osen;1051;1028;1010;978
Oppdal;6531;6629;6794;6973
Rennebu;2635;2621;2534;2556
Meldal;3900;3899;3967;3960
Orkland (-1962);0;0;0;0
Orkdal;10812;11160;11519;11891
Orkanger (-1962);0;0;0;0
Røros;5671;5563;5589;5623
Røros Landsogn (-1963);0;0;0;0
Brekken (-1963);0;0;0;0
Glåmos (-1963);0;0;0;0
Holtålen;2076;2064;2030;2046
